latitude,longitude
-6.8920994,112.8606966
-6.8920994,112.8705564
-6.8920994,112.8804162
-6.8920994,112.890276
-6.8920994,112.9001358
-6.8920994,112.9099956
-6.8920994,112.9198554
-6.8920994,112.9297152
-6.8920994,112.939575
-6.8920994,112.9494348
-6.8920994,112.9592946
-6.8920994,112.96915440000001
-6.8920994,112.97901420000001
-6.8920994,112.98887400000001
-6.8920994,112.99873380000001
-6.8920994,113.00859360000001
-6.8920994,113.01845340000001
-6.8920994,113.02831320000001
-6.8920994,113.03817300000001
-6.8920994,113.04803280000002
-6.8920994,113.05789260000002
-6.8920994,113.06775240000002
-6.8920994,113.07761220000002
-6.8920994,113.08747200000002
-6.8920994,113.09733180000002
-6.8920994,113.10719160000002
-6.8920994,113.11705140000002
-6.8920994,113.12691120000002
-6.8920994,113.13677100000002
-6.8920994,113.14663080000003
-6.8920994,113.15649060000003
-6.8920994,113.16635040000003
-6.8920994,113.17621020000003
-6.8920994,113.18607000000003
-6.8920994,113.19592980000003
-6.8920994,113.20578960000003
-6.8920994,113.21564940000003
-6.8920994,113.22550920000003
-6.8920994,113.23536900000003
-6.8920994,113.24522880000004
-6.8920994,113.25508860000004
-6.8920994,113.26494840000004
-6.8920994,113.27480820000004
-6.8920994,113.28466800000004
-6.8920994,113.29452780000004
-6.8920994,113.30438760000004
-6.8920994,113.31424740000004
-6.8920994,113.32410720000004
-6.8920994,113.33396700000004
-6.8920994,113.34382680000004
-6.8920994,113.35368660000005
-6.8920994,113.36354640000005
-6.8920994,113.37340620000005
-6.8920994,113.38326600000005
-6.8920994,113.39312580000005
-6.8920994,113.40298560000005
-6.8920994,113.41284540000005
-6.8920994,113.42270520000005
-6.8920994,113.43256500000005
-6.8920994,113.44242480000005
-6.8920994,113.45228460000006
-6.8920994,113.46214440000006
-6.8920994,113.47200420000006
-6.8920994,113.48186400000006
-6.8920994,113.49172380000006
-6.8920994,113.50158360000006
-6.8920994,113.51144340000006
-6.8920994,113.52130320000006
-6.8920994,113.53116300000006
-6.8920994,113.54102280000006
-6.8920994,113.55088260000007
-6.8920994,113.56074240000007
-6.8920994,113.57060220000007
-6.8920994,113.58046200000007
-6.8920994,113.59032180000007
-6.8920994,113.60018160000007
-6.8920994,113.61004140000007
-6.8920994,113.61990120000007
-6.8920994,113.62976100000007
-6.8920994,113.63962080000007
-6.8920994,113.64948060000008
-6.8920994,113.65934040000008
-6.8920994,113.66920020000008
-6.8920994,113.67906000000008
-6.8920994,113.68891980000008
-6.8920994,113.69877960000008
-6.8920994,113.70863940000008
-6.8920994,113.71849920000008
-6.8920994,113.72835900000008
-6.8920994,113.73821880000008
-6.8920994,113.74807860000008
-6.8920994,113.75793840000009
-6.8920994,113.76779820000009
-6.8920994,113.77765800000009
-6.8920994,113.78751780000009
-6.8920994,113.79737760000009
-6.8920994,113.80723740000009
-6.8920994,113.81709720000009
-6.8920994,113.82695700000009
-6.8920994,113.8368168000001
-6.8920994,113.8466766000001
-6.8920994,113.8565364000001
-6.8920994,113.8663962000001
-6.8920994,113.8762560000001
-6.8920994,113.8861158000001
-6.8920994,113.8959756000001
-6.8920994,113.9058354000001
-6.8920994,113.9156952000001
-6.8920994,113.9255550000001
-6.8920994,113.9354148000001
-6.8920994,113.9452746000001
-6.8920994,113.9551344000001
-6.8920994,113.9649942000001
-6.8920994,113.97485400000011
-6.8920994,113.98471380000011
-6.8920994,113.99457360000011
-6.8920994,114.00443340000011
-6.8920994,114.01429320000011
-6.8920994,114.02415300000011
-6.8920994,114.03401280000011
-6.8920994,114.04387260000011
-6.8920994,114.05373240000011
-6.8920994,114.06359220000012
-6.8920994,114.07345200000012
-6.8920994,114.08331180000012
-6.8920994,114.09317160000012
-6.8920994,114.10303140000012
-6.8920994,114.11289120000012
-6.8920994,114.12275100000012
-6.8920994,114.13261080000012
-6.8966901,112.8606966
-6.8966901,112.8705564
-6.8966901,112.8804162
-6.8966901,112.890276
-6.8966901,112.9001358
-6.8966901,112.9099956
-6.8966901,112.9198554
-6.8966901,112.9297152
-6.8966901,112.939575
-6.8966901,112.9494348
-6.8966901,112.9592946
-6.8966901,112.96915440000001
-6.8966901,112.97901420000001
-6.8966901,112.98887400000001
